mammalia	Cynomys ludovicianus	alias->黑尾草原犬鼠	黑尾土拨鼠[alias->黑尾草原犬鼠]
mammalia	Cynopterus sphinx	no-sci	短吻果蝠[no-sci] 印度犬果蝠[alias->犬蝠]
mammalia	Eolagurus luteus	no-sci	黄兔尾鼠[no-sci]
mammalia	Hoolock hoolock	no-sci	白眉长臂猿[no-sci]
carnivora	Ailurus fulgens	alias-rank->小熊猫属	小熊猫[alias-rank->小熊猫属] 小猫熊[alias-rank->小熊猫属] 红熊猫[alias-rank->小熊猫属]
carnivora	Ammotragus lervia	alias->大角羊	北非髯羊[alias->大角羊]
carnivora	Capricornis crispus	alias->日本鬣羚	日本髭羚[alias->日本鬣羚]
carnivora	Cephalophus dorsalis	alias->骝毛小羚羊	黑背麂羚[alias->骝毛小羚羊]
carnivora	Eudorcas rufifrons	no-sci	红瞪羚[no-sci]
aves	Amaurornis phoenicurus	alias->白腹秧雞	白胸苦恶鸟[alias->白腹秧雞]
aves	Anorrhinus tickelli	no-sci	白喉犀鸟[no-sci]
aves	Caloperdix oculeus	hans/not-in-index	锈红林鹧鸪[hans/not-in-index]
aves	Eulampis holosericeus	alias->綠喉加利蜂鳥	绿喉蜂鸟[alias->綠喉加利蜂鳥]
aves	Fulica atra	alias->骨顶鸡	白骨顶[alias->骨顶鸡]
